Loaded Data
             date ticker   adj_close
0      2013-07-01      A 29.99418563
1      2013-07-02      A 29.65013670
2      2013-07-03      A 29.70518453
3      2013-07-05      A 30.43456826
4      2013-07-08      A 30.52402098
5      2013-07-09      A 30.68916447
6      2013-07-10      A 31.17771395
7      2013-07-11      A 31.45983407
8      2013-07-12      A 31.48047700
9      2013-07-15      A 31.72819223
10     2013-07-16      A 31.59057266
11     2013-07-17      A 31.38414330
12     2013-07-18      A 31.58369168
13     2013-07-19      A 31.79012104
14     2013-07-22      A 32.20297975
15     2013-07-23      A 31.97590746
16     2013-07-24      A 32.17545584
17     2013-07-25      A 32.10664605
18     2013-07-26      A 31.37726233
19     2013-07-29      A 31.19835688
20     2013-07-30      A 30.86118893
21     2013-07-31      A 30.77861719
22     2013-08-01      A 31.68002538
23     2013-08-02      A 31.91397865
24     2013-08-05      A 31.61121560
25     2013-08-06      A 31.70754930
26     2013-08-07      A 31.84516887
27     2013-08-08      A 31.54928679
28     2013-08-09      A 31.80388300
29     2013-08-12      A 31.96214550
490707 2017-05-19    ZTS 59.92967369
490708 2017-05-22    ZTS 59.92967369
490709 2017-05-23    ZTS 61.04261076
490710 2017-05-24    ZTS 61.90712437
490711 2017-05-25    ZTS 62.18535864
490712 2017-05-26    ZTS 62.21516946
490713 2017-05-30    ZTS 61.86737662
490714 2017-05-31    ZTS 61.88725050
490715 2017-06-01    ZTS 62.24498027
490716 2017-06-02    ZTS 62.10586314
490717 2017-06-05    ZTS 62.27479108
490718 2017-06-06    ZTS 62.58283617
490719 2017-06-07    ZTS 62.86107043
490720 2017-06-08    ZTS 62.18535864
490721 2017-06-09    ZTS 62.19529558
490722 2017-06-12    ZTS 61.45996216
490723 2017-06-13    ZTS 61.67360633
490724 2017-06-14    ZTS 61.94235833
490725 2017-06-15    ZTS 62.10161877
490726 2017-06-16    ZTS 62.26087921
490727 2017-06-19    ZTS 62.73866054
490728 2017-06-20    ZTS 62.70879921
490729 2017-06-21    ZTS 62.70879921
490730 2017-06-22    ZTS 63.21644187
490731 2017-06-23    ZTS 62.48981610
490732 2017-06-26    ZTS 62.43009343
490733 2017-06-27    ZTS 62.46990854
490734 2017-06-28    ZTS 62.65903032
490735 2017-06-29    ZTS 62.21111032
490736 2017-06-30    ZTS 62.09166499
